97803910025531,2,           0,           0,     3.00491,   -0.146345,97804633460030
97803910025531,2,           0,           0,     3.00491,   -0.146345,97805296980656
97803910025531,2,           0,           0,     3.00491,   -0.146345,97806025992831
97803910025531,2,   0.0701957,  -0.0235481,     3.00358,   -0.141277,97806712749346
97803910025531,2,    0.142047,  -0.0514485,     2.99789,    -0.13614,97807415105600
97803910025531,2,    0.207786,  -0.0760756,     2.98022,    -0.12268,97808122136140
97803910025531,2,    0.282613,   -0.105023,     3.02844,  -0.0683367,97808849878420
97803910025531,2,    0.352562,    -0.13185,     3.02034,  -0.0645076,97809576057362
97803910025531,2,    0.312562,   -0.117263,     3.02557, -0.00524289,97810223745804
97803910025531,2,    0.312562,   -0.117749,     2.99801,   0.0311607,97810814310554
97803910025531,2,    0.272562,   -0.103584,      3.0062,    0.117453,97811502525979
97803910025531,2,    0.272562,   -0.104242,     2.98371,    0.167459,97812266953649
97803910025531,2,    0.285887,   -0.110325,     3.01685,     0.23065,97813012103418
97803910025531,2,         0.2,  -0.0770279,     2.99333,    0.243461,97813776782863
97803910025531,2,         0.2,  -0.0776499,     2.98535,    0.311737,97814446386659
97803910025531,2,         0.2,  -0.0788964,     2.99364,    0.382192,97815154618236
97803910025531,2,    0.219726,  -0.0876139,     2.95575,    0.431513,97815939240642
97803910025531,2,         0.2,  -0.0803888,     2.96255,     0.47598,97816670621046
97803910025531,2,         0.2,  -0.0815524,     2.96168,    0.520137,97817257056304
97803910025531,2,           0,           0,     2.95804,    0.553366,97817962169158
97803910025531,2,           0,           0,     2.95803,    0.553373,97818633533191
97803910025531,2,           0,           0,     2.95803,    0.553373,97819349018413
97803910025531,2,           0,  -0.0455805,     2.93853,    0.618565,97820018323496
97803910025531,2,           0,   -0.105842,     2.91968,    0.647194,97820730346706
97803910025531,2,           0,   -0.114411,     2.90899,     0.66268,97821499622429
97803910025531,2,           0,  -0.0947844,     2.93603,    0.706207,97822313596263
97803910025531,2,           0,  -0.0643482,     2.92005,     0.75633,97822983318252
